rera_no,project_name,promoter,location,district,pincode,state,last_modified,source
P53000002179,Urban Life Phase II Building C,ATHARV ESTATES INDIA PRIVATE LIMITED,Hatkanangle,Kolhapur,416138,MAHARASHTRA,2021-09-09,maharera
P51700001153,CASA UNIVIS - CIELO D,LODHA DEVELOPERS LIMITED,Thane,Thane,400615,MAHARASHTRA,2018-09-28,maharera
P52100002620,GANGA AMBER PH I,SHRI SIDDHIVINAYAK DEVELOPERS,Mulshi,Pune,411033,MAHARASHTRA,2023-05-09,maharera
P52100001786,Geras Imperium Rise,Gera Developments Private Limited,Mulshi,Pune,411057,MAHARASHTRA,2022-02-09,maharera
P52000004776,POOJA NAGAR,SHREE LAXMI NARAYAN DEVELOPERS,Karjat,Raigarh,410201,MAHARASHTRA,2023-04-21,maharera
P52000005747,Anand Nagar Phase 1,Anubhavshri Realty Pvt. Ltd.,Mangaon,Raigarh,402104,MAHARASHTRA,2021-09-08,maharera
P52100003056,MANTRA INSIGNIA COMMERCIAL PHASE 2,MANTRA INSIGNIA LLP,Pune City,Pune,411036,MAHARASHTRA,2017-08-04,maharera
P52000006668,Baycastle,Bhairav Realty,Alibag,Raigarh,402201,MAHARASHTRA,2023-02-22,maharera
P52100001528,Sanghavi Paradise B and C Building,Sanjay Walchand Sanghavi,Baramati,Pune,413102,MAHARASHTRA,2017-07-28,maharera
P53000001951,Mallhar Towers,Shendre and Associates,Karvir,Kolhapur,416003,MAHARASHTRA,2019-07-24,maharera
P53000001244,Mallhar Terraces,Shendre and Associates,Karvir,Kolhapur,416001,MAHARASHTRA,2019-02-01,maharera
P53000001531,Bhosales Mallhar Heritage,Shendre and Associates,Karvir,Kolhapur,416003,MAHARASHTRA,2019-07-19,maharera
P51800000568,SRISHTI ELEGANCE,SWASTIK REALTORS,Kurla,Mumbai Suburban,400078,MAHARASHTRA,2017-07-18,maharera
P51800000903,Antariksh Alba,Antariksh Infraprojects LLP,Andheri,Mumbai Suburban,400053,MAHARASHTRA,2017-07-25,maharera
P52700001770,GREEN SPRINGS,VISION ASSOCIATES,Wai,Satara,412803,MAHARASHTRA,2022-10-31,maharera
P51900000465,Hubtown Vedant- 14th To 18th Floor,Citywood Builders Private Limited,Mumbai City,Mumbai City,400037,MAHARASHTRA,2025-03-26,maharera
P52100003063,OM SAI HEIGHTS,OM SAI DEVELOPERS,Junnar,Pune,410502,MAHARASHTRA,2017-08-04,maharera
P52100008268,ABHILASHA,KUDALE SABLE BUILDERS,Shirur,Pune,412208,MAHARASHTRA,2021-09-09,maharera
P51700005077,Manas Hills,Ashok Kumar Narayanlal Sahlot,Shahapur,Thane,421604,MAHARASHTRA,2019-03-05,maharera
P52000005046,Aayushi Apartment,PRIYANSHI ENTERPRISES,Panvel,Raigarh,410206,MAHARASHTRA,2017-08-09,maharera
P51800000842,SAI SYMPHONY,Sainath Realtors,Kurla,Mumbai Suburban,400081,MAHARASHTRA,2021-09-09,maharera
P51800004431,PREMIER EXOTICA I,HOUSING DEVELOPMENT AND INFRASTRUCTURE LTD,Kurla,Mumbai Suburban,400070,MAHARASHTRA,2017-08-09,maharera
P51800001739,Sanaya Elysium,M/s Sanaya Realties Pvt Ltd,Kurla,Mumbai Suburban,400080,MAHARASHTRA,2017-07-29,maharera
P51800007054,SAMRUDDHI CHS,HASMUKH R HIRANI,Kurla,Mumbai Suburban,400024,MAHARASHTRA,2021-10-31,maharera
P52100002457,AARAMBH,Pandharinath Vitthal Jambhalkar,Haveli,Pune,411019,MAHARASHTRA,2019-01-25,maharera
P53000001228,Shree Residency,SHREE DEVELOPERS,Karvir,Kolhapur,416007,MAHARASHTRA,2017-07-27,maharera
P51700000778,Alpinia,Acme Housing India Private Limited,Thane,Thane,400607,MAHARASHTRA,2021-09-09,maharera
P51800005285,SIESTA,PRESTIGE MULUND REALTY PRIVATE LIMITED,Andheri,Mumbai Suburban,400080,MAHARASHTRA,2024-01-03,maharera
P52100003242,Suyog Aura Phase II,Shivram Developers,Haveli,Pune,411052,MAHARASHTRA,2017-08-05,maharera
P99000002207,AGARWAL PARAMOUNT,AGARWAL REALTORS,Vasai,Palghar,401303,MAHARASHTRA,2018-03-21,maharera
P51700001100,SATYAM ELEGANZA,PANORAMA REALTY,Ambarnath,Thane,421501,MAHARASHTRA,2017-07-26,maharera
