building_id,canonical_name,alias_added,reason,rule_triggered,confidence,resolved_by,timestamp
2681,Lodha Park,Lodha Parkside,✓ High name similarity 90%; ✓ Same area: Lower Parel; ✓ Same developer: Lodha Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2687,Lodha World Ciel Villa,Lodha World,✓ High name similarity 90%; ✓ Same area: Lower Parel; ✓ Same developer: Lodha Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2687,Lodha World Crest,Lodha World,✓ High name similarity 90%; ✓ Same area: Lower Parel; ✓ Same developer: Lodha Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2687,Lodha World One,Lodha World,✓ High name similarity 90%; ✓ Same area: Lower Parel; ✓ Same developer: Lodha Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
4241,Lodha World,Lodha World View,✓ High name similarity 90%; ✓ Same area: Lower Parel; ✓ Same developer: Lodha Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2749,Lodha Primero,Lodha Primero - Mahalaxmi,✓ High name similarity 90%; ✓ Same area: Mahalakshmi; ✓ Same developer: Lodha Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
3340,Lodha Bellagio,Lodha Bellagio Tower C,✓ High name similarity 93%; ✓ Same area: Powai; ✓ Same developer: Lodha Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
3911,Lodha Luxuria,Lodha Luxuria Priva,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same developer: Lodha Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
3911,Lodha Luxuria,Lodha Luxuria Secret,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same developer: Lodha Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
4149,Lodha Supremus,Lodha Supremus Kolshet,✓ High name similarity 90%; ✓ Same area: Wadala; ✓ Same developer: Lodha Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2681,Lodha Park,Lodha Parkside,✓ High name similarity 90%; ✓ Same area: Worli; ✓ Same developer: Lodha Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
1516,Prestige Jasdan,Prestige Jasdan Classic,✓ High name similarity 90%; ✓ Same area: Mahalakshmi; ✓ Same developer: Prestige Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
3220,Prarthana Heights,Prathana Heights,✓ High name similarity 97%; ✓ Same area: Parel; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
