observation_id,building_id,observation_type,source,observed_at,payload_json,confidence,source_reference,created_at,raw_building_name,raw_area
c2545ead-911b-4b0d-91b3-b2074f422e29,0,MAHARERA_PROJECT,MAHARERA,2017-06-28,"{""project_id"": 31, ""rera_number"": ""P51600000085"", ""project_name"": ""ANANDVANN"", ""developer_name"": ""SARVPPRATHAM DEVELOPERS PVT. LTD."", ""location"": ""Igatpuri"", ""district"": ""Nashik"", ""pincode"": ""422403"", ""area"": ""Igatpuri"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:31""}",0.0,P51600000085,2026-06-25T19:23:16.317427Z,,Igatpuri
52b837a7-e7d1-4b60-9245-665b489e0de1,0,MAHARERA_PROJECT,MAHARERA,2021-09-09,"{""project_id"": 32, ""rera_number"": ""P51600008182"", ""project_name"": ""Laxmi Chayya"", ""developer_name"": ""Laxmikripa Developers"", ""location"": ""Nashik"", ""district"": ""Nashik"", ""pincode"": ""422004"", ""area"": ""Nashik"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:32""}",0.0,P51600008182,2026-06-25T19:23:16.436688Z,,Nashik
74e2bf53-d47e-4143-931c-1e224171a851,0,MAHARERA_PROJECT,MAHARERA,2017-08-07,"{""project_id"": 33, ""rera_number"": ""P52800004038"", ""project_name"": ""KOHINOOR PRESTIGE"", ""developer_name"": ""JAIN AND JAIN CONSTRUCTION COMPANY"", ""location"": ""Ratnagiri"", ""district"": ""Ratnagiri"", ""pincode"": ""415612"", ""area"": ""Ratnagiri"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:33""}",0.0,P52800004038,2026-06-25T19:23:16.576847Z,,Ratnagiri
982b545b-0467-408f-8728-20acd0ecd234,0,MAHARERA_PROJECT,MAHARERA,2021-09-09,"{""project_id"": 34, ""rera_number"": ""P51500002341"", ""project_name"": ""FLORENZA VILLAS"", ""developer_name"": ""Mahesh Vithalrao Labhshetwar"", ""location"": ""Aurangabad"", ""district"": ""Aurangabad"", ""pincode"": ""431005"", ""area"": ""Aurangabad"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:34""}",0.0,P51500002341,2026-06-25T19:23:16.704417Z,,Aurangabad
be817777-7a50-4a4f-9b18-1b8027c3dfcc,0,MAHARERA_PROJECT,MAHARERA,2022-08-12,"{""project_id"": 35, ""rera_number"": ""P50500000854"", ""project_name"": ""Gokul"", ""developer_name"": ""Radha Madhav Developers"", ""location"": ""Hingna"", ""district"": ""Nagpur"", ""pincode"": ""441122"", ""area"": ""Hingna"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:35""}",0.0,P50500000854,2026-06-25T19:23:16.774490Z,,Hingna
2a60d7de-b7f4-4f2b-8058-1d3ad474f388,0,MAHARERA_PROJECT,MAHARERA,2020-01-08,"{""project_id"": 36, ""rera_number"": ""P49900000069"", ""project_name"": ""Vasukamal Samruddhi"", ""developer_name"": ""Vasukamal & Associates"", ""location"": ""Jalgaon"", ""district"": ""Jalgaon"", ""pincode"": ""425001"", ""area"": ""Jalgaon"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:36""}",0.0,P49900000069,2026-06-25T19:23:16.918437Z,,Jalgaon
a42d6e40-f35d-4365-afee-97f8c4d66fac,0,MAHARERA_PROJECT,MAHARERA,2026-04-13,"{""project_id"": 38, ""rera_number"": ""P51700005959"", ""project_name"": ""nakshatra"", ""developer_name"": ""Harshal Ramdas Navghare"", ""location"": ""Ambarnath"", ""district"": ""Thane"", ""pincode"": ""421503"", ""area"": ""Ambarnath"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:38""}",0.0,P51700005959,2026-06-25T19:23:17.021281Z,,Ambarnath
167fdb82-0c83-4127-86f1-be149bfdc51e,0,MAHARERA_PROJECT,MAHARERA,2017-07-03,"{""project_id"": 40, ""rera_number"": ""P50100000101"", ""project_name"": ""NISARG GARDEN"", ""developer_name"": ""DILIP DEVICHAND CHAUDHARI"", ""location"": ""Akola"", ""district"": ""Akola"", ""pincode"": ""444001"", ""area"": ""Akola"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:40""}",0.0,P50100000101,2026-06-25T19:23:17.253079Z,,Akola
573acc8a-38c4-4309-bf12-9adb940a051a,0,MAHARERA_PROJECT,MAHARERA,2017-07-31,"{""project_id"": 41, ""rera_number"": ""P52100002029"", ""project_name"": ""Dwarika Nagari"", ""developer_name"": ""Yashodhan Associates"", ""location"": ""Haveli"", ""district"": ""Pune"", ""pincode"": ""411048"", ""area"": ""Haveli"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:41""}",0.0,P52100002029,2026-06-25T19:23:17.382068Z,,Haveli
632e5559-fbb0-43a3-93e1-df0cdc6cecf5,0,MAHARERA_PROJECT,MAHARERA,2017-09-06,"{""project_id"": 42, ""rera_number"": ""P50500012638"", ""project_name"": ""Construction of 14 Rowhouses at Waddhamna Nagpur"", ""developer_name"": ""MHADA(Nagpur Board)"", ""location"": ""Hingna"", ""district"": ""Nagpur"", ""pincode"": ""441110"", ""area"": ""Hingna"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:42""}",0.0,P50500012638,2026-06-25T19:23:17.629909Z,,Hingna
96d9d0f6-906a-47b3-bc30-92515626fd01,0,MAHARERA_PROJECT,MAHARERA,2017-07-17,"{""project_id"": 44, ""rera_number"": ""P50100000435"", ""project_name"": ""SPRING DIVISHA"", ""developer_name"": ""SIDDHARTH DEVELOPERS"", ""location"": ""Akola"", ""district"": ""Akola"", ""pincode"": ""444001"", ""area"": ""Akola"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:44""}",0.0,P50100000435,2026-06-25T19:23:17.753474Z,,Akola
aa400c02-559b-4c5c-9515-4653d2e02d5b,0,MAHARERA_PROJECT,MAHARERA,2026-04-13,"{""project_id"": 45, ""rera_number"": ""P50500007042"", ""project_name"": ""Sumangal Vihar"", ""developer_name"": ""Sunil Laddhad & Nimish Laddhad (AOP)"", ""location"": ""Hingna"", ""district"": ""Nagpur"", ""pincode"": ""440016"", ""area"": ""Hingna"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:45""}",0.0,P50500007042,2026-06-25T19:23:17.880724Z,,Hingna
8ccab750-c742-4bfa-9d5e-63a643d5e535,0,MAHARERA_PROJECT,MAHARERA,2017-08-04,"{""project_id"": 46, ""rera_number"": ""P51700002939"", ""project_name"": ""K T PREMIA"", ""developer_name"": ""K T & CO"", ""location"": ""Bhiwandi"", ""district"": ""Thane"", ""pincode"": ""421302"", ""area"": ""Bhiwandi"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:46""}",0.0,P51700002939,2026-06-25T19:23:17.992036Z,,Bhiwandi
0bbeef1a-2a47-4d8e-b1f9-9c122456758b,0,MAHARERA_PROJECT,MAHARERA,2021-05-11,"{""project_id"": 48, ""rera_number"": ""P51700000644"", ""project_name"": ""THANEKAR PARKLAND"", ""developer_name"": ""AJAY MADHUKAR THANEKAR"", ""location"": ""Ambarnath"", ""district"": ""Thane"", ""pincode"": ""421503"", ""area"": ""Ambarnath"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:48""}",0.0,P51700000644,2026-06-25T19:23:18.129514Z,,Ambarnath
7a2abde9-af0b-4f9c-80a8-1f15a58b009a,0,MAHARERA_PROJECT,MAHARERA,2017-07-05,"{""project_id"": 49, ""rera_number"": ""P50900000159"", ""project_name"": ""Site No.124, Datala, New Chandrapur"", ""developer_name"": ""MHADA(Nagpur Board)"", ""location"": ""Chandrapur"", ""district"": ""Chandrapur"", ""pincode"": ""442401"", ""area"": ""Chandrapur"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:49""}",0.0,P50900000159,2026-06-25T19:23:18.324531Z,,Chandrapur
