building,location,bhk,sqft,furnishing,price,listed_date,source
Lodha New Cuffe Parade,Wadala,2.5 BHK,1000 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Piramal Aranya,Byculla,3 BHK,1100 sqft,Semi Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Link Garden,Andheri,1 BHK,400 sqft,Semi-Furnished,₹1.60 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Marquise,—,4 BHK,1526 sqft,Semi-Furnished,₹11.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Monte South,Byculla,2½ BHK,1250 sqft,Semi Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Suntech City Avenue 2,Goregaon West,2 BHK,629 sqft,Semi-Furnished,₹2.35 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
RNA Regency Park,Kandivali West,1 BHK,485 sqft,Semi-Furnished,₹1.35 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Parinee Essence,Kandivali West,3 BHK,750 sqft,Semi-Furnished,₹1.60 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Orion Business Park,Kapurbawdi,,900 sqft,Unfurnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Eternity,Bandra,2 BHK,1100 sqft,Semi-Furnished,₹4.75 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Pacific Heights,Bandra,4 BHK,2500 sqft,Semi-Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
BKC-X,—,3 BHK,1100 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Raheja Princess,Prabhadevi,3 BHK,1550 sqft,Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Tanish,Khar West,2 BHK,800 sqft,Semi-Furnished,₹4.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Birla Niyara,—,4 BHK,2100 sqft,Semi-Furnished,₹21.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Crown,—,3 BHK,1350 sqft,Semi-Furnished,₹9.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kalpataru Magnus,—,3 BHK,1325 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kanakia Paris,Bandra East,,2000 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Trump Towers,Worli,4 BHK,1600 sqft,Semi-Furnished,₹5 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Indiabulls Sky Forest,Lower Parel,3 BHK,2533 sqft,Semi-Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Trump Towers,Worli,3 BHK,1400 sqft,Semi-Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Velkar Residency,—,3 BHK,1100 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
36 Allure,—,2 BHK,591 sqft,Semi-Furnished,₹2.04 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
DLH Signature,Bandra West,3 BHK,1264 sqft,Semi Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Park,Lower Parel,3 BHK,970 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Suraj Ashiyana Apt,Khar West,2 BHK,1120 sqft,Fully Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Raheja Empress,Prabhadevi,3 BHK,1288 sqft,Semi-Furnished,₹9.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kolte Patil Verve,Goregaon West,2 BHK,750 sqft,Semi-Furnished,₹80000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lotus Link Square,Andheri West,,550 sqft,Furnished,₹2.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Paramount,Khar West,3 BHK,1335 sqft,Semi Furnished,₹12.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Silver Sand,Goregaon West,2 BHK,650 sqft,Semi-Furnished,₹1.65 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Tulsi Apt,Khar,2 BHK,680 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Stone Arch,Bandra West,2 BHK,1400 sqft,Semi-Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Paramount,Khar West,3 BHK,1300 sqft,Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Fiorenza,Goregaon East,2 BHK,838 sqft,Semi-Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Arkade Aura,Santacruz West,3 BHK,1180 sqft,Un Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Bhoomi Gobind Bhavan,Khar West,,827 sqft,Semi-Furnished,₹3.26 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Chandak Stella,Goregaon West,3 BHK,881 sqft,Furnished,₹90000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Altamonte,Malad East,3.5 BHK,1833 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
DLH Signature,Bandra West,3 BHK,1304 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Dheeraj Devika Apt,Bandra West,3 BHK,1400 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Bajaj Onyx Apt,Bandra West,3 BHK,1500 sqft,Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Heritage,Bandra West,2 BHK,750 sqft,Semi Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Crescent Heritage Apt,Khar West,2 BHK,680 sqft,Unfurnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Continental Towers,Bandra West,3 BHK,1082 sqft,Semi-Furnished,₹6.22 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Mittal Commercial Premises,Andheri West,,,Furnished,₹3.61 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Simran Plaza,Khar West,,818 sqft,Semi-Furnished,₹2.95 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Raheja Excelsior,Tardeo,,530 sqft,Semi-Furnished,₹4.62 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Palazzo Opulence,Santacruz West,,1379 sqft,Semi-Furnished,₹7.44 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
The Promordial House,Grant Road,2 BHK,654 sqft,Semi-Furnished,₹4.20 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Golden Oak,Wadala East,3 BHK,1116 sqft,Semi-Furnished,₹3.20 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Shyam Kunj,Khar West,,1150 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kalpak Optimus,Bandra (w),,1109 sqft,Furnished,₹9.43 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
One Lodha Place,Lower Parel,,987 sqft,Semi-Furnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kohinoor Square,Dadar,,800 sqft,Furnished,₹5 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Signet,Lower Parel,,335 sqft,Unfurnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
INS Tower,—,,1527 sqft,Unfurnished,₹7 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Naman Centre,BKC,,2599 sqft,Furnished,₹17 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
The Capital,BKC,,2025 sqft,Furnished,₹13 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Marathon Futurex,Lower Parel,,3978 sqft,Unfurnished,₹15 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Standard House,Marine Lines,,732 sqft,Furnished,₹2.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Trade Center,BKC,,1700 sqft,Furnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sun Mill Compound,Lower Parel,,740 sqft,Fully Furnished,₹2.75 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Prestige Turf Tower,Mahalaxmi,,350 sqft,Semi Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Creative Industrial Estate,Lower Parel,,680 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Atul Park,Chembur,,850 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Tridhaatu Aum,Chembur,2 BHK,800 sqft,Unfurnished,₹80000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Altavista,Chembur,2 BHK,700 sqft,Semi-Furnished,₹2.15 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Moongipa Arcade,Andheri,2 BHK,620 sqft,Unfurnished,₹2.35 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Gazhdar Enclave,Andheri West,,1600 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Platinum Life,Andheri West,2.5 BHK,790 sqft,Semi-Furnished,₹3.40 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Platinum Tower 4,Andheri,1 BHK,330 sqft,Semi-Furnished,₹1.45 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Oberoi Spring,Andheri West,2.5 BHK,2250 sqft,Furnished,₹12.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Paramount,Khar West,,1990 sqft,Semi-Furnished,₹16.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Laxmi Business Park,Andheri West,,760 sqft,Semi-Furnished,₹3.55 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rukmini Vaibhav,Andheri West,2 BHK,600 sqft,Semi Furnished,₹75000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Panchsheel Apt,Andheri West,2.5 BHK,950 sqft,Furnished,₹86000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rushi Tower,Andheri West,3 BHK,2400 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Beverley Hills,Andheri West,3 BHK,1280 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Green Field Society,Juhu,,435 sqft,Semi-Furnished,₹2.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Leela Apartment,Andheri West,1 BHK,530 sqft,Unfurnished,₹50000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Hibiscus Apt,Andheri West,2 BHK,746 sqft,Semi-Furnished,₹3.55 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Janakdeep Apartment,Andheri West,1 BHK,647 sqft,Semi Furnished,₹2.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rushi Tower,Andheri West,,2400 sqft,Semi-Furnished,₹9.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Bileshwar Darshan,Vile Parle East,2 BHK,635 sqft,Semi-Furnished,₹3.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Royal Heritage,Andheri West,,219 sqft,Semi-Furnished,₹1.05 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sea Shell,Andheri West,2 BHK,1000 sqft,Semi-Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Mazdock Apartment,Andheri West,2 BHK,675 sqft,Semi-Furnished,₹72000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kalpana,Khar West,3 BHK,1850 sqft,Fully Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lok Nirman,—,2 BHK,790 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sahana Enclave,Bandra,4 BHK,2750 sqft,Furnished,₹5 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Gokul Sushma,Santacruz West,2 BHK,730 sqft,Semi-Furnished,₹3.11 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
25 South,Prabhadevi,4 BHK,3600 sqft,Semi-Furnished,₹45.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Manju Mahal,—,1 BHK,550 sqft,Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Supreme Headquarters,Bandra West,,1140 sqft,Furnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Heera Panna,Haji Ali,2 BHK,925 sqft,Semi-Furnished,₹6.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Raheja Empress,Prabhadevi,,1776 sqft,Furnished,₹16.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kalpataru Avana,Parel,3 BHK,3300 sqft,Semi-Furnished,₹8 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Piramal Mahalaxmi Central Tower,Mahalaxmi,3 BHK,1450 sqft,Un Furnished,₹9.80 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rivali Park,Borivali East,3 BHK,1210 sqft,Semi-Furnished,₹4.55 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Auris Bliss,Malad West,2 BHK,675 sqft,Semi-Furnished,₹2.60 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kastur Park,Borivali West,2 BHK,700 sqft,Semi-Furnished,₹2.40 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Raheja Ridgewood,Goregaon East,2 BHK,800 sqft,Semi-Furnished,₹3.35 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Shreyas bldg,Khar West,,2000 sqft,Semi-Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Man Dunes,Bandra West,,4000 sqft,Semi-Furnished,₹7 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Omkar,Santacruz West,1 BHK,430 sqft,Semi-Furnished,₹2.15 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Valentine Apartment,—,2 BHK,730 sqft,Furnished,₹65000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Juhu Tarang,Juhu,1 BHK,574 sqft,Furnished,₹62000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Panchsheel,Andheri West,2.5 BHK,950 sqft,Furnished,₹90000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Shraddha Tower,Kandivali East,2 BHK,816 sqft,Semi-Furnished,₹52000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Ekta Meadows,Kandivali East,2 BHK,725 sqft,Furnished,₹67000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kastur Park,—,2 BHK,607 sqft,Semi-Furnished,₹2.05 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Maheshwar Darshan,Santacruz West,3 BHK,1180 sqft,Semi-Furnished,₹5.31 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Pinnacle Corporate Park,Bandra East,,400 sqft,Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sandhu palace,Bandra West,3 BHK,10000 sqft,Semi-Furnished,₹130.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sai Jyoti,Khar West,2 BHK,750 sqft,Semi-Furnished,₹4.12 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
81 Crest,—,,661 sqft,Semi-Furnished,₹6.10 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Orion West,—,,659 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Vicinia,Powai,3 BHK,1068 sqft,Semi-Furnished,₹3.35 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Dheeraj Devika,Bandra West,3 BHK,1400 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
DLH Kesley,Borivali West,2 BHK,725 sqft,Semi-Furnished,₹2.61 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Shiv Parvati,Kandivali West,2 BHK,780 sqft,Semi-Furnished,₹2.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Praful Apartment,Kandivali West,2 BHK,650 sqft,Semi-Furnished,₹2.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Gundecha Trillium,—,3 BHK,1250 sqft,Furnished,₹6.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Gundecha Trillium,—,3 BHK,1250 sqft,Furnished,₹6.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lake Primrose,Powai,3 BHK,1500 sqft,Furnished,₹4.10 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Durolite House,Andheri West,,2300 sqft,Unfurnished,₹7 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
UK Sangfroid,Andheri West,2 BHK,720 sqft,Semi-Furnished,₹2.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Gulmohar,Bandra West,,3000 sqft,Semi-Furnished,₹15.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Oceanic,Andheri West,3 BHK,1265 sqft,Semi-Furnished,₹5.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Octacrest,Kandivali East,2 BHK,698 sqft,Furnished,₹2.30 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Ekta Tripolis,Goregaon West,2 BHK,800 sqft,Semi-Furnished,₹3.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Gundecha Trillium,Kandivali East,2 BHK,844 sqft,Semi Furnished,₹3.55 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Omkar Alta Monte,Malad East,4 BHK,3311 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Omkar Alta Monte,Malad East,2 BHK,948 sqft,Semi-Furnished,₹90000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Oberoi Sky City,Borivali East,3 BHK,1132 sqft,Semi Furnished,₹5.80 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Parinee-I,Andheri West,,861 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Delta Wood,Near Thakur Mall Highway,2 BHK,585 sqft,Semi-Furnished,₹1.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Dheeraj Upvan,Borivali East,2 BHK,,Semi-Furnished,₹1.85 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Bhairav Residency,Mira Road,3 BHK,905 sqft,Semi-Furnished,₹1.75 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Shelton CHS,Vile Parle West,2 BHK,850 sqft,Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Vinit Tower,Andheri West,3 BHK,710 sqft,Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Oberoi Maxima,Andheri East,2 BHK,1250 sqft,Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Mesacon Nest,Andheri West,3 BHK,1209 sqft,Semi Furnished,₹6.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lotus Residency,Ram Mandir,1 BHK,418 sqft,Semi-Furnished,₹1.10 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Elanza,Malad West,2.5 BHK,867 sqft,Semi-Furnished,₹3.99 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Veena Crest,Andheri West,3 BHK,955 sqft,Semi-Furnished,₹3.90 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Bel Air,Jogeshwari West,2 BHK,659 sqft,Semi-Furnished,₹2.60 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Accord Classic,Goregaon East,,535 sqft,Furnished,₹65000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Heeraji Heritage,Kandivali West,2 BHK,607 sqft,Semi-Furnished,₹1.90 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Reliable Business Centre,Oshiwara,,3500 sqft,Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Cozy Apartment,Versova,3 BHK,1250 sqft,Semi-Furnished,₹3.80 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Garden Estate Tower,Goregaon West,4 BHK,1200 sqft,Furnished,₹4.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Ekta CHS Ltd,Andheri West,2 BHK,613 sqft,Semi-Furnished,₹2.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
DLH Mamta,Andheri West,2 BHK,711 sqft,Semi-Furnished,₹3.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Eternis,Andheri East,2 BHK,798 sqft,Semi-Furnished,₹2.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Anmol Prestige,Goregaon West,3 BHK,1220 sqft,Semi-Furnished,₹6.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kastur Park,Virar,3 BHK,998 sqft,Semi-Furnished,₹80000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Auriegae Residency,Kandivali East,2 BHK,430 sqft,Furnished,₹55000,Listed 19 Jun 2026 · 10:58 AM,propi_in
JP Deck,Goregaon East,2 BHK,900 sqft,Semi-Furnished,₹70000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Siddivinayak Horizon,Worli,5 BHK,2950 sqft,Semi-Furnished,₹5 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Marquise,—,3 BHK,1350 sqft,Semi-Furnished,₹9.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
One Lodha Place,Lower Parel,,750 sqft,Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
One Lodha Place,Lower Parel,,1060 sqft,Furnished,₹7 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Ashok Tower,Parel,3 BHK,1500 sqft,Semi-Furnished,₹12.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Piramal Mahalaxmi,Mahalaxmi,3 BHK,1800 sqft,Semi-Furnished,₹12.60 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Aradhana Apt,Dadar East,1 BHK,550 sqft,Unfurnished,₹62000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Altia,Wadala,1 BHK,500 sqft,Semi-Furnished,₹1.90 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Padmavati Heights,Grant Road,3 BHK,1155 sqft,Semi-Furnished,₹6.15 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Nalanda,Peddar Road,1 BHK,656 sqft,Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Model Residency,Mahalakshmi,1.5 BHK,500 sqft,Semi-Furnished,₹1.85 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Shyam Niwas,Breach Candy,2 BHK,1454 sqft,Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
A1 Apartments,Walkeshwar,3 BHK,1700 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Parkside,—,3 BHK,1092 sqft,Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Crown,Prabhadevi,4 BHK,2500 sqft,Unfurnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Crown,—,3 BHK,1343 sqft,Unfurnished,₹7.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sky Forest Indiabulls,—,3 BHK,1725 sqft,Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Piramal Mahalaxmi,—,2 BHK,1800 sqft,Semi-Furnished,₹12.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Marathon Innova,Lower Parel,,2655 sqft,Furnished,₹16.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
One Lodha Place,Lower Parel,,1200 sqft,Furnished,₹8 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Parkside,—,2 BHK,893 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
One Avighna Park,Lower Parel East,3 BHK,2000 sqft,Semi-Furnished,₹17.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Suryadarshan,Walkeshwar,2 BHK,1200 sqft,Semi-Furnished,₹12.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Chinar CHS,Wadala,3 BHK,1550 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Park,—,2.5 BHK,975 sqft,Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Baya Central,Lower Parel,1 BHK,484 sqft,Unfurnished,₹1.99 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rijhumal Mansion,Pedder Road,2 BHK,915 sqft,Semi-Furnished,₹6.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha World Crest,Lower Parel,3 BHK,2015 sqft,Semi-Furnished,₹5 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Aditya Elegance,Mahim,3 BHK,1190 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kanakia Paris,BKC,3 BHK,1150 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Aversekar Heights,Worli,4 BHK,1900 sqft,Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
B.Y. Apartment,Worli,2 BHK,900 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
One Lodha Place,Lower Parel,,650 sqft,Semi-Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Twin Tower,Prabhadevi,2 BHK,697 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Raheja Imperia,—,3 BHK,1455 sqft,Semi-Furnished,₹11.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Runwal Nirvana,Parel,3 BHK,1078 sqft,Furnished,₹5.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Hiranya CHS,Shivaji Park,2 BHK,550 sqft,Semi-Furnished,₹3.35 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Ratnamani Tower,Dadar East,1 BHK,450 sqft,Semi-Furnished,₹2.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Monalisa Tower,Dadar East,1 BHK,405 sqft,Semi-Furnished,₹1.80 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Royal Residency,Lalbaug,3 BHK,1100 sqft,Furnished,₹6.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Supremus,Lower Parel,,781 sqft,Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Birla Niyaara,Worli,3 BHK,1151 sqft,Semi-Furnished,₹10.40 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sanskruti,Prabhadevi,2 BHK,838 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Ruparel Ariana,—,3 BHK,1200 sqft,Semi-Furnished,₹4.30 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
