building,location,bhk,sqft,furnishing,price,listed_date,source
Vardhman Garden,Thane West,2 BHK,700 sqft,Semi-Furnished,₹1.10 Cr,Listed 25 Apr 2026 · 05:20 PM,propi_in
Lodha Parkside,Worli,2 BHK,893 sqft,Semi-Furnished,₹3 L,Listed 25 Apr 2026 · 04:36 PM,propi_in
Signia High,Borivali East,3.5 BHK,1832 sqft,Semi-Furnished,₹7.30 Cr,Listed 25 Apr 2026 · 04:36 PM,propi_in
Chandelier Court,Worli,3 BHK,1400 sqft,Semi-Furnished,₹2 L,Listed 25 Apr 2026 · 04:30 PM,propi_in
Kanakia Paris,Bandra East,2 BHK,850 sqft,Semi-Furnished,₹2 L,Listed 25 Apr 2026 · 04:28 PM,propi_in
Queensgate,Thane West,2 BHK,750 sqft,Semi-Furnished,₹1.75 Cr,Listed 25 Apr 2026 · 04:14 PM,propi_in
Omkar Veda,Parel,3 BHK,1250 sqft,Semi-Furnished,₹3.65 Cr,Listed 25 Apr 2026 · 04:02 PM,propi_in
Sunteck Gilbird,Andheri West,2 BHK,650 sqft,Semi-Furnished,₹2.30 Cr,Listed 25 Apr 2026 · 03:48 PM,propi_in
Oberoi Esquire,Goregaon East,3 BHK,1387 sqft,Semi-Furnished,₹7.80 Cr,Listed 25 Apr 2026 · 03:28 PM,propi_in
Siddharth Enclave,Lower Parel,2 BHK,,Semi-Furnished,₹2.50 Cr,Listed 25 Apr 2026 · 03:16 PM,propi_in
Lodha Primero,Mahalaxmi,3 BHK,1230 sqft,Semi-Furnished,₹2 L,Listed 25 Apr 2026 · 03:14 PM,propi_in
Asmita Apartment,Walkeshwar,2 BHK,725 sqft,Semi-Furnished,₹2 L,Listed 25 Apr 2026 · 03:07 PM,propi_in
Divyam Heights,Andheri West,2 BHK,680 sqft,Semi-Furnished,₹2.50 Cr,Listed 25 Apr 2026 · 02:58 PM,propi_in
Kalpavruksh Heights,Kandivali West,2.5 BHK,603 sqft,Semi-Furnished,₹1.65 Cr,Listed 25 Apr 2026 · 02:42 PM,propi_in
Garden Estates,Goregaon West,3.5 BHK,1262 sqft,Semi-Furnished,₹4.20 Cr,Listed 25 Apr 2026 · 02:12 PM,propi_in
Unnat Nagar Akshay CHS,Goregaon West,3 BHK,,Semi-Furnished,₹2.50 Cr,Listed 25 Apr 2026 · 02:08 PM,propi_in
Shreedham Classic,Goregaon West,2 BHK,800 sqft,Semi-Furnished,₹2.30 Cr,Listed 25 Apr 2026 · 01:52 PM,propi_in
Mahindra Eminente,Goregaon West,2 BHK,675 sqft,Semi-Furnished,₹1.70 Cr,Listed 25 Apr 2026 · 01:52 PM,propi_in
Ebony,Bandra West,3 BHK,900 sqft,Semi-Furnished,₹5.00 Cr,Listed 25 Apr 2026 · 01:46 PM,propi_in
Lodha Venezia,Parel,3 BHK,1150 sqft,Semi-Furnished,₹5.15 Cr,Listed 25 Apr 2026 · 01:38 PM,propi_in
Trishul Heights,Kandivali West,2 BHK,1253 sqft,Semi-Furnished,₹3.20 Cr,Listed 25 Apr 2026 · 01:14 PM,propi_in
Joy Legend,Khar West,4 BHK,2000 sqft,Semi-Furnished,₹5 L,Listed 25 Apr 2026 · 12:56 PM,propi_in
Minerva,Mahalaxmi,3 BHK,2813 sqft,Semi-Furnished,₹3 L,Listed 25 Apr 2026 · 12:04 PM,propi_in
Lodha Grandeur,Prabhadevi,3 BHK,1500 sqft,Semi-Furnished,₹6.50 Cr,Listed 25 Apr 2026 · 11:44 AM,propi_in
Makhan Dham,Khar West,4.5 BHK,2000 sqft,Semi-Furnished,₹12.00 Cr,Listed 25 Apr 2026 · 11:15 AM,propi_in
Elite Vista,Khar West,3 BHK,1100 sqft,Semi Furnished,₹6.50 Cr,Listed 25 Apr 2026 · 11:14 AM,propi_in
Oberoi Exquisite,Goregaon East,3 BHK,1690 sqft,Semi-Furnished,₹6.70 Cr,Listed 25 Apr 2026 · 11:11 AM,propi_in
Rustomjee Seasons,Bandra East,3 BHK,1405 sqft,Semi-Furnished,₹9.50 Cr,Listed 25 Apr 2026 · 11:08 AM,propi_in
Rustomjee Oriana,Bandra East,4 BHK,2157 sqft,Semi-Furnished,₹13.18 Cr,Listed 25 Apr 2026 · 11:08 AM,propi_in
Morning Star,Bandra West,3 BHK,1200 sqft,Semi-Furnished,₹5.50 Cr,Listed 25 Apr 2026 · 11:04 AM,propi_in
Runwal Elegante,Andheri West,3.5 BHK,1418 sqft,Semi-Furnished,₹7.50 Cr,Listed 25 Apr 2026 · 11:02 AM,propi_in
Hubtown Sunmist,Andheri East,4 BHK,,Semi-Furnished,₹7.50 Cr,Listed 25 Apr 2026 · 10:57 AM,propi_in
Inder Tower,Dadar West,3 BHK,925 sqft,Semi-Furnished,₹4.50 Cr,Listed 25 Apr 2026 · 10:51 AM,propi_in
Ansal Heights,Worli,3.5 BHK,1450 sqft,Semi-Furnished,₹7.50 Cr,Listed 25 Apr 2026 · 10:51 AM,propi_in
Lodha Vista,Lower Parel,2 BHK,680 sqft,Semi-Furnished,₹4.26 Cr,Listed 25 Apr 2026 · 10:51 AM,propi_in
Celestia Spaces,Sewri,2 BHK,864 sqft,Semi-Furnished,₹4.20 Cr,Listed 25 Apr 2026 · 10:44 AM,propi_in
Mahavir Darshan,Lower Parel,1 BHK,350 sqft,Semi-Furnished,₹2.10 Cr,Listed 25 Apr 2026 · 10:44 AM,propi_in
Lodha Grandeur,Prabhadevi,3 BHK,1050 sqft,Semi-Furnished,₹5.00 Cr,Listed 25 Apr 2026 · 10:44 AM,propi_in
Lok Nirman,Khar West,2 BHK,901 sqft,Semi-Furnished,₹2 L,Listed 24 Apr 2026 · 07:56 PM,propi_in
Grace Heritage,Bandra West,3 BHK,1050 sqft,Semi-Furnished,₹5.10 Cr,Listed 24 Apr 2026 · 07:52 PM,propi_in
Glen Heights,Powai,2 BHK,800 sqft,Semi-Furnished,₹4.00 Cr,Listed 24 Apr 2026 · 07:40 PM,propi_in
93 Palladian,Andheri East,,225 sqft,Semi-Furnished,₹95 L,Listed 24 Apr 2026 · 07:34 PM,propi_in
Evening Glory,Powai,1 BHK,385 sqft,Semi-Furnished,₹1.10 Cr,Listed 24 Apr 2026 · 07:34 PM,propi_in
Chandak Stella,Goregaon West,3 BHK,1267 sqft,Semi-Furnished,₹3.40 Cr,Listed 24 Apr 2026 · 07:22 PM,propi_in
Golden Oak,Powai,3 BHK,800 sqft,Semi-Furnished,₹4.50 Cr,Listed 24 Apr 2026 · 07:22 PM,propi_in
Hubtown Sunmist,Andheri East,2 BHK,1000 sqft,Fully Furnished,₹4.50 Cr,Listed 24 Apr 2026 · 07:16 PM,propi_in
Anuprita Housing Society,Andheri West,2 BHK,750 sqft,Fully Furnished,₹2.25 Cr,Listed 24 Apr 2026 · 07:14 PM,propi_in
Veesita Luxuria,Tardeo,2 BHK,1050 sqft,Semi-Furnished,₹4.75 Cr,Listed 24 Apr 2026 · 07:06 PM,propi_in
Silver Beach Apartments,Dadar West,3 BHK,1300 sqft,Semi-Furnished,₹2 L,Listed 24 Apr 2026 · 06:53 PM,propi_in
Whitefield,Khar West,2 BHK,860 sqft,Semi-Furnished,₹5.95 Cr,Listed 24 Apr 2026 · 06:52 PM,propi_in
Romell Orbis,Andheri East,1 BHK,497 sqft,Semi-Furnished,₹1.20 Cr,Listed 24 Apr 2026 · 06:52 PM,propi_in
Cosmos,Andheri West,,1050 sqft,Fully Furnished,₹3 L,Listed 24 Apr 2026 · 06:43 PM,propi_in
Omkar Alta Monte,Malad East,3 BHK,1430 sqft,Semi-Furnished,₹2 L,Listed 24 Apr 2026 · 06:29 PM,propi_in
Raheja Ridgewood,Goregaon East,3 BHK,1124 sqft,Fully Furnished,₹4.50 Cr,Listed 24 Apr 2026 · 06:12 PM,propi_in
Udaka Heights,Goregaon West,2 BHK,800 sqft,Fully Furnished,₹2.50 Cr,Listed 24 Apr 2026 · 06:10 PM,propi_in
Dhanashree Heights,Andheri West,,605 sqft,Fully Furnished,₹75000,Listed 24 Apr 2026 · 06:06 PM,propi_in
Tulip,Bandra West,2 BHK,725 sqft,Fully Furnished,₹1 L,Listed 24 Apr 2026 · 06:00 PM,propi_in
Nivan,Khar West,,280 sqft,Unfurnished,₹80000,Listed 24 Apr 2026 · 05:06 PM,propi_in
Bhavya Supreme,Parel,2 BHK,750 sqft,Semi-Furnished,₹3.50 Cr,Listed 24 Apr 2026 · 04:36 PM,propi_in
Saba Heritage,Bandra West,,275 sqft,Semi-Furnished,₹1.20 Cr,Listed 24 Apr 2026 · 04:34 PM,propi_in
Dheeraj Aashna,Bandra West,3 BHK,1350 sqft,Semi-Furnished,₹7.50 Cr,Listed 24 Apr 2026 · 04:30 PM,propi_in
Satguru Shristi,Bandra West,2 BHK,750 sqft,Semi-Furnished,₹5.75 Cr,Listed 24 Apr 2026 · 04:28 PM,propi_in
Ajmera Prive,Juhu,4 BHK,1734 sqft,Semi-Furnished,₹11.50 Cr,Listed 24 Apr 2026 · 04:12 PM,propi_in
Raheja Avisa,Bandra West,3 BHK,1053 sqft,Semi-Furnished,₹9.00 Cr,Listed 24 Apr 2026 · 04:10 PM,propi_in
Kartik Complex,Andheri West,,304 sqft,Fully Furnished,₹1.80 Cr,Listed 24 Apr 2026 · 04:06 PM,propi_in
Bonny Casa,Bandra West,5 BHK,2400 sqft,Semi-Furnished,₹20.44 Cr,Listed 24 Apr 2026 · 04:02 PM,propi_in
Sequoia,Santacruz West,4 BHK,1474 sqft,Fully Furnished,₹4.30 Cr,Listed 24 Apr 2026 · 04:02 PM,propi_in
Saturn,Santacruz West,2 BHK,800 sqft,Semi-Furnished,₹4.00 Cr,Listed 24 Apr 2026 · 03:38 PM,propi_in
AP Florence,Khar West,3 BHK,1242 sqft,Semi-Furnished,₹8.50 Cr,Listed 24 Apr 2026 · 03:38 PM,propi_in
Raj Tattva,Thane West,3 BHK,1186 sqft,Semi-Furnished,₹3.25 Cr,Listed 24 Apr 2026 · 02:30 PM,propi_in
Rustomjee Athena,Thane West,2 BHK,700 sqft,Semi-Furnished,₹1.45 Cr,Listed 24 Apr 2026 · 02:06 PM,propi_in
Vasant Athena,Thane West,2 BHK,680 sqft,Semi-Furnished,₹1.50 Cr,Listed 24 Apr 2026 · 02:06 PM,propi_in
Platinum Life,Andheri West,3 BHK,950 sqft,Semi-Furnished,₹4.30 Cr,Listed 24 Apr 2026 · 01:24 PM,propi_in
