building_id,landmark_id,distance_m,walking_min,building_name,landmark_name
2250,LM-052,171,2,Panchsheel,Kandivali Station
2251,LM-052,171,2,Panchsheel Garden,Kandivali Station
2252,LM-052,171,2,Panchsheel Height,Kandivali Station
2253,LM-052,171,2,Parinee Essence,Kandivali Station
2254,LM-052,171,2,Platinum Tower,Kandivali Station
2255,LM-052,171,2,Praful Apartment,Kandivali Station
2256,LM-052,171,2,RNA Regency Park,Kandivali Station
2257,LM-052,171,2,RNA Royale Park,Kandivali Station
2258,LM-052,171,2,Raj Heights,Kandivali Station
2259,LM-052,171,2,Rajeshri Apartment,Kandivali Station
2260,LM-052,171,2,Rishabraj Samaj Darshan,Kandivali Station
2261,LM-052,171,2,Rock Enclave,Kandivali Station
2262,LM-052,171,2,Rodium Xone,Kandivali Station
2263,LM-052,171,2,Royal Samarpan,Kandivali Station
2264,LM-052,171,2,Ruparel Elara,Kandivali Station
2265,LM-052,171,2,Ruparel Palacio,Kandivali Station
2266,LM-052,171,2,Ruparel Sky Green,Kandivali Station
2267,LM-052,171,2,Rustomjee Meridian,Kandivali Station
2268,LM-052,171,2,Saffron,Kandivali Station
2269,LM-052,171,2,Sahil Apartment,Kandivali Station
2270,LM-052,171,2,Sai Dham,Kandivali Station
2271,LM-052,171,2,Sai Elegance,Kandivali Station
2272,LM-052,171,2,Sheth Edmont,Kandivali Station
2273,LM-052,171,2,Shiv Parvati,Kandivali Station
2274,LM-052,171,2,Shiv Shrushti,Kandivali Station
2275,LM-052,171,2,Shivani Rudram,Kandivali Station
2276,LM-052,171,2,Shree Nikunj,Kandivali Station
2277,LM-052,171,2,Shree Vallabh Residency,Kandivali Station
2278,LM-052,171,2,Shubham,Kandivali Station
2279,LM-052,171,2,Siddha Seabrook,Kandivali Station
2280,LM-052,171,2,Supreme Willows,Kandivali Station
2281,LM-052,171,2,Surbhi Complex,Kandivali Station
2282,LM-052,171,2,Symphony,Kandivali Station
2283,LM-052,171,2,Tanna Height,Kandivali Station
2284,LM-052,171,2,Trishul Heights,Kandivali Station
2285,LM-052,171,2,Veena Santoor,Kandivali Station
2286,LM-052,171,2,Veena Santoor 2,Kandivali Station
2287,LM-052,171,2,Veena Smart Homes,Kandivali Station
2288,LM-052,171,2,Vora Icon,Kandivali Station
2289,LM-052,171,2,Westwood,Kandivali Station
1876,LM-050,187,2,34 Park Estate,Goregaon Station
1877,LM-050,187,2,36 Allure,Goregaon Station
1878,LM-050,187,2,36 Avenue,Goregaon Station
1879,LM-050,187,2,63 Rishabraj Avenue,Goregaon Station
1880,LM-050,187,2,Acme Complex,Goregaon Station
1881,LM-050,187,2,Anand Vatika,Goregaon Station
1882,LM-050,187,2,Anmol Enclave,Goregaon Station
