building_id,canonical_name,alias
758,Park Residency,The Park Residency
759,Spring Fields,The Spring Fields
763,Transcon Triumph,Transcon Triumph -
781,Venus,Venus Apartment
783,Versova Heaven,Versova Heavens
791,Victoria CHS,Victoria CHSL
793,Vinit Tower,Vinit Tower
805,Wind Space Amelio,Windspace Amelio
807,Windsor Grande Residence,Windsor Grande Residences
809,Woodland,Woodland Apartment
809,Woodland,Woodland CHS
836,Capital,The Capital
837,Metropolitan,The Metropolitan
840,Aquarius Tower,Aquarius Tower
841,Bandstand Apartment,Bandstand Apt
841,Bandstand Apartment,Bandstand
841,Bandstand Apartment,Bandstand Apartment
842,Continental Tower,Continental Tower
842,Continental Tower,Continental
844,DLH Signature,DLH Signature
845,Dakshin Pali,Dakshin Pali
847,Dheeraj Swapna,Dheeraj Swapna
848,Ekta Everglades,Ekta Everglades
848,Ekta Everglades,Ektaa Everglades
850,Eternity,Eternity
854,Hicon Residency,Hicon Residency
855,Joanna Villa,Joanna Villa
856,Le Reve,Le Reve
858,Makhija Arcade,Makhija Arcade
860,Matai Mansion,Matai Mansion
861,Notan Chambers,Notan Chambers
862,Pacific Heights,Pacific Heights
863,Regiland,Regiland
867,Sahana Enclave,Sahana Enclave
868,Satguru Paman,Satguru Paman
871,Supreme Residency,Supreme Residency
886,Geetanjali Apartment,Geetanjali Apts
886,Geetanjali Apartment,Geetanjali CHS
898,Naman,Naman Residency
908,Rustomjee Seasons,Rustomjee Seasons - Wing D
914,Shapoorji Pallonji,Shapoorji Pallonji BKC
919,Address By GS,The Address By GS
941,Ashiana,Ashiana Building
941,Ashiana,Ashiana Glaxo
948,Bajaj Onyx,Bajaj Onyx Apartment
956,Belfer,Belfer Apartment
1001,Deepika,Deepika Apartment
1006,Dheeraj Devika,Dheeraj Devika Apartment
1015,Dunhill,Dunhill Apartment
1057,HandM Tower,H&M Tower
1077,Island Heights CHS,Island Heights CHSL
1078,Jackers,Jackers
1084,Josephine,Josephine CHS
1088,June Blossom,June Blossoms
1142,Marina,Marina Apartment
1168,Neelam,Neelam Apartment
1169,Neelamber,Neelamber Apartment
1179,Nibbana Annex,Nibbana Annexe
1188,Orva,Orva Apartment
1200,Peridot Apartment,Peridot Apt
1208,Presidential,Presidential
1229,Rustomjee Orva,Rustomjee Orva
1238,Samrat,Samrat CHS
1255,Seep,Seep Building
1261,Shangrila,Shangrila Apartment
1274,Singer Wood,Singers Wood
1282,Sona Villa,Soona Villa
1300,Chitrapur CHS,The Chitrapur CHS
1301,Moorings,The Moorings
1302,One,The One
1303,Waterfront,The Waterfront
1309,Tuscany Apartment,Tuscany Apt
1352,Filix Tower,Filix Towers
1357,Mahavir Universe,Mahavir Universe
1364,Shraddha Evoque,Shraddha Evoque
1382,Ekta Bhoomi Garden,Ekta Bhoomi Garden III
1382,Ekta Bhoomi Garden,Ekta Bhoomi Gardens
1385,Jaliyan Height,Jaliyan Heights
1397,Rivali Park,Rivali Park D
1397,Rivali Park,Rivali Park F
1409,Grand Residences,The Grand Residences
1416,Arihant,Arihant Building
1435,Kastur Park,Kasturpark
1458,Apartment FOR LandL,Apartment FOR L&L
1470,Kala Niketan,Kalaniketan
1495,Sunshine Apartment,Sunshine Apartment
1505,Peninsula Salsette,Peninsula Salsette 27
1506,Piramal Aarav,Piramal Arav
1507,Piramal Aranya,Piramal Aranya Ahan
1507,Piramal Aranya,Piramal Aranya Arav
1507,Piramal Aranya,Piramal Aranya Avyan
1514,Baya Victoria,The Baya Victoria
1575,Epicentre,The Epicentre
1593,Anjali,Anjali Building
1594,Apartment FOR LandL,Apartment FOR L&L
1615,Pushpa Vihar,Pushpa Vihar CHS
